#PICTＩＤ,モンスター名,上半身,下半身,靴,顔,髪型,帽子,髪飾り,髪飾り,髪飾り,髪飾り,顔飾り,右すね,肩パット,肩パット,胸アクセサリ,右手,左手,背負い,左すね,右足甲,しっぽ,付け髪,付け髪,付け髪,付け髪,右手,左足甲,左手,腰,腰追加分,SPP,常時エフェクトＩＤ,攻撃エフェクトＩＤ,トレイルエフェクトＩＤ,下半身1,下半身2,下半身3,
#,,,ピース,ピース,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,
#,,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,SPP,MRB,MRB,MRB,MRB,MRB,MRB,
10260841,空用ジョンベラハート(Ｇタイプ・白),01_00_5144_62,01_26_258_02,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260842,空用ジョンベラハート(Ｈタイプ・白),01_00_5144_72,01_26_258_02,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260843,空用ジョンベラハート(Ｉタイプ・白),01_00_5144_82,01_26_258_02,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260844,空用ジョンベラハート(Ｊタイプ・白),01_00_5144_92,01_26_258_02,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260845,空用ジョンベラハート(Ａタイプ・緑),01_00_5144_03,01_26_258_03,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260846,空用ジョンベラハート(Ｂタイプ・緑),01_00_5144_13,01_26_258_03,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260847,空用ジョンベラハート(Ｃタイプ・緑),01_00_5144_23,01_26_258_03,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260848,空用ジョンベラハート(Ｄタイプ・緑),01_00_5144_33,01_26_258_03,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260849,空用ジョンベラハート(Ｅタイプ・緑),01_00_5144_43,01_26_258_03,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260850,空用ジョンベラハート(Ｆタイプ・緑),01_00_5144_53,01_26_258_03,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260851,空用ジョンベラハート(Ｇタイプ・緑),01_00_5144_63,01_26_258_03,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260852,空用ジョンベラハート(Ｈタイプ・緑),01_00_5144_73,01_26_258_03,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260853,空用ジョンベラハート(Ｉタイプ・緑),01_00_5144_83,01_26_258_03,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260854,空用ジョンベラハート(Ｊタイプ・緑),01_00_5144_93,01_26_258_03,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260855,空用ジョンベラハート(Ａタイプ・茶),01_00_5144_04,01_26_258_04,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260856,空用ジョンベラハート(Ｂタイプ・茶),01_00_5144_14,01_26_258_04,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260857,空用ジョンベラハート(Ｃタイプ・茶),01_00_5144_24,01_26_258_04,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260858,空用ジョンベラハート(Ｄタイプ・茶),01_00_5144_34,01_26_258_04,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260859,空用ジョンベラハート(Ｅタイプ・茶),01_00_5144_44,01_26_258_04,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260860,空用ジョンベラハート(Ｆタイプ・茶),01_00_5144_54,01_26_258_04,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260861,空用ジョンベラハート(Ｇタイプ・茶),01_00_5144_64,01_26_258_04,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260862,空用ジョンベラハート(Ｈタイプ・茶),01_00_5144_74,01_26_258_04,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260863,空用ジョンベラハート(Ｉタイプ・茶),01_00_5144_84,01_26_258_04,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260864,空用ジョンベラハート(Ｊタイプ・茶),01_00_5144_94,01_26_258_04,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260865,空用ジョンベラハート(Ａタイプ・赤),01_00_5144_05,01_26_258_05,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260866,空用ジョンベラハート(Ｂタイプ・赤),01_00_5144_15,01_26_258_05,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260867,空用ジョンベラハート(Ｃタイプ・赤),01_00_5144_25,01_26_258_05,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260868,空用ジョンベラハート(Ｄタイプ・赤),01_00_5144_35,01_26_258_05,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260869,空用ジョンベラハート(Ｅタイプ・赤),01_00_5144_45,01_26_258_05,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260870,空用ジョンベラハート(Ｆタイプ・赤),01_00_5144_55,01_26_258_05,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260871,空用ジョンベラハート(Ｇタイプ・赤),01_00_5144_65,01_26_258_05,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260872,空用ジョンベラハート(Ｈタイプ・赤),01_00_5144_75,01_26_258_05,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260873,空用ジョンベラハート(Ｉタイプ・赤),01_00_5144_85,01_26_258_05,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260874,空用ジョンベラハート(Ｊタイプ・赤),01_00_5144_95,01_26_258_05,01_09_07_00,01_02_0207_90,01_03_136_90,,,01_04_96_90,,,01_06_12_14,,,,,,,01_18_26_00,,,01_21_18_07,,,,,,,,,,,,,,01_01_00_104,01_24_00_58,01_25_03_58,
10260875,胡桃用ジョンベラハート(Ａタイプ・青),01_00_5144_00,01_26_258_00,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260876,胡桃用ジョンベラハート(Ｂタイプ・青),01_00_5144_10,01_26_258_00,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260877,胡桃用ジョンベラハート(Ｃタイプ・青),01_00_5144_20,01_26_258_00,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260878,胡桃用ジョンベラハート(Ｄタイプ・青),01_00_5144_30,01_26_258_00,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260879,胡桃用ジョンベラハート(Ｅタイプ・青),01_00_5144_40,01_26_258_00,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260880,胡桃用ジョンベラハート(Ｆタイプ・青),01_00_5144_50,01_26_258_00,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260881,胡桃用ジョンベラハート(Ｇタイプ・青),01_00_5144_60,01_26_258_00,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260882,胡桃用ジョンベラハート(Ｈタイプ・青),01_00_5144_70,01_26_258_00,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260883,胡桃用ジョンベラハート(Ｉタイプ・青),01_00_5144_80,01_26_258_00,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260884,胡桃用ジョンベラハート(Ｊタイプ・青),01_00_5144_90,01_26_258_00,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260885,胡桃用ジョンベラハート(Ａタイプ・黒),01_00_5144_01,01_26_258_01,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260886,胡桃用ジョンベラハート(Ｂタイプ・黒),01_00_5144_11,01_26_258_01,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260887,胡桃用ジョンベラハート(Ｃタイプ・黒),01_00_5144_21,01_26_258_01,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260888,胡桃用ジョンベラハート(Ｄタイプ・黒),01_00_5144_31,01_26_258_01,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260889,胡桃用ジョンベラハート(Ｅタイプ・黒),01_00_5144_41,01_26_258_01,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260890,胡桃用ジョンベラハート(Ｆタイプ・黒),01_00_5144_51,01_26_258_01,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260891,胡桃用ジョンベラハート(Ｇタイプ・黒),01_00_5144_61,01_26_258_01,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260892,胡桃用ジョンベラハート(Ｈタイプ・黒),01_00_5144_71,01_26_258_01,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260893,胡桃用ジョンベラハート(Ｉタイプ・黒),01_00_5144_81,01_26_258_01,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260894,胡桃用ジョンベラハート(Ｊタイプ・黒),01_00_5144_91,01_26_258_01,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260895,胡桃用ジョンベラハート(Ａタイプ・白),01_00_5144_02,01_26_258_02,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260896,胡桃用ジョンベラハート(Ｂタイプ・白),01_00_5144_12,01_26_258_02,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260897,胡桃用ジョンベラハート(Ｃタイプ・白),01_00_5144_22,01_26_258_02,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260898,胡桃用ジョンベラハート(Ｄタイプ・白),01_00_5144_32,01_26_258_02,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260899,胡桃用ジョンベラハート(Ｅタイプ・白),01_00_5144_42,01_26_258_02,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260900,胡桃用ジョンベラハート(Ｆタイプ・白),01_00_5144_52,01_26_258_02,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260901,胡桃用ジョンベラハート(Ｇタイプ・白),01_00_5144_62,01_26_258_02,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260902,胡桃用ジョンベラハート(Ｈタイプ・白),01_00_5144_72,01_26_258_02,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260903,胡桃用ジョンベラハート(Ｉタイプ・白),01_00_5144_82,01_26_258_02,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260904,胡桃用ジョンベラハート(Ｊタイプ・白),01_00_5144_92,01_26_258_02,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260905,胡桃用ジョンベラハート(Ａタイプ・緑),01_00_5144_03,01_26_258_03,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260906,胡桃用ジョンベラハート(Ｂタイプ・緑),01_00_5144_13,01_26_258_03,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260907,胡桃用ジョンベラハート(Ｃタイプ・緑),01_00_5144_23,01_26_258_03,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260908,胡桃用ジョンベラハート(Ｄタイプ・緑),01_00_5144_33,01_26_258_03,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260909,胡桃用ジョンベラハート(Ｅタイプ・緑),01_00_5144_43,01_26_258_03,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260910,胡桃用ジョンベラハート(Ｆタイプ・緑),01_00_5144_53,01_26_258_03,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260911,胡桃用ジョンベラハート(Ｇタイプ・緑),01_00_5144_63,01_26_258_03,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260912,胡桃用ジョンベラハート(Ｈタイプ・緑),01_00_5144_73,01_26_258_03,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260913,胡桃用ジョンベラハート(Ｉタイプ・緑),01_00_5144_83,01_26_258_03,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260914,胡桃用ジョンベラハート(Ｊタイプ・緑),01_00_5144_93,01_26_258_03,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260915,胡桃用ジョンベラハート(Ａタイプ・茶),01_00_5144_04,01_26_258_04,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260916,胡桃用ジョンベラハート(Ｂタイプ・茶),01_00_5144_14,01_26_258_04,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260917,胡桃用ジョンベラハート(Ｃタイプ・茶),01_00_5144_24,01_26_258_04,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260918,胡桃用ジョンベラハート(Ｄタイプ・茶),01_00_5144_34,01_26_258_04,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260919,胡桃用ジョンベラハート(Ｅタイプ・茶),01_00_5144_44,01_26_258_04,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260920,胡桃用ジョンベラハート(Ｆタイプ・茶),01_00_5144_54,01_26_258_04,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260921,胡桃用ジョンベラハート(Ｇタイプ・茶),01_00_5144_64,01_26_258_04,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
10260922,胡桃用ジョンベラハート(Ｈタイプ・茶),01_00_5144_74,01_26_258_04,01_09_07_00,01_02_0208_90,00_03_219_90,,,01_04_132_90,,01_06_214_00,01_07_07_51,,,,01_08_51_00,00_16_85_00,,01_18_27_00,,,01_21_13_52,,,,,,,,,,,,,,01_01_00_30,01_24_00_58,01_25_03_58,
