#目前就是这个样子了 图章掉落禁止有数字以外的字符出现! 例如actcube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##,,,,体格,,,特殊情報,,,設定,基本パラメータ,,,,,,,,ステータス,,,,物理攻撃,,,魔法攻撃,,防御力,,,,ダメージ減少,,命中,,,回避,,,クリティカル,,,,攻撃速度,,,属性値,,,,,,,状態異常耐性,,,,,,,,,思考ID(通常）,,,,,,,,,,思考(出現),,思考ID(瀕死),,,,,,,,,,思考(終焉）,,カスタムAIID,,,,,,スキルリスト,,,,,,,,,,,,,,,経験値,,,,ドロップ,ドロップアイテム,,,,,,,,,旅人のメモ,,パーティ
#ID,名前,PICTID,種別ＩＤ,幅,長さ,スケール,飛行,アンデッド,モーションセット番号,LV,腕力,魔力,体力,器用,敏捷,知性,運,魅力,HP,SP,MP,速度,最小,最大,タイプ,最小,最大,物理－,物理％,魔法－,魔法％,物理ダメージ(％),魔法ダメージ(％),近接,遠隔,魔法,近接,遠隔,魔法,発生,回避,回復力,魔回復力,物理,詠唱,射程,無,火,水,風,土,光,闇,毒,石化,麻痺,睡眠,沈黙,鈍足,混乱,氷結,気絶,ID１,確率,ID2,確率,ID3,確率,ID4,確率,ID5,確率,ID,確率,ID１,確率,ID2,確率,ID3,確率,ID4,確率,ID5,確率,ID,確率,AIID1,確率1,AIID2,確率2,AIID3,確率3,攻撃スキル加算倍率,ＩＤ１,確率,ＩＤ２,確率,ＩＤ３,確率,ＩＤ４,確率,減少HP%分加算スキル,確率,減少HP%分減算スキル,確率,出現時使用スキルID,死亡時使用スキルID,EXP,JOB,WRP,信頼度,ID,アイテムID1,アイテムID2,アイテムID3,アイテムID4,アイテムID5,アイテムID6,アイテムID7,ID8（スタンプ）,ＩＤ8確率,掲載フラグ,解放ID,イベントフラグ
#0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
15170001,侏儒渡渡鸟,15170000,BIRD_NOTPTDROPRANGE,1,1,0.5,0,0,0,30,6,1,1,11,10,3,1,1,518,0,0,600,110,130,STAB,119,136,72,20,62,27,0,0,96,97,82,46,0,163,6,6,100,1,264,263,1,0,0,0,40,0,0,0,255,255,255,255,255,255,255,255,255,51,90,68,10,0,0,0,0,0,0,0,0,51,90,68,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7574,100,0,0,0,0,0,0,0,0,0,0,0,0,666,666,0,0,3,null,10083300,10015000,50090100,null,null,null,,0,1,422,0
15170002,国王火鸡,15170000,BIRD,1,1,0.8,0,0,0,85,6,1,1,11,10,3,1,1,12500,0,0,500,336,376,STAB,384,413,200,25,120,44,0,0,213,186,187,107,0,180,17,16,100,1,371,341,1,0,0,0,40,0,0,0,0,130,90,0,255,120,60,50,30,93,70,14,30,0,0,0,0,0,0,0,0,93,30,14,30,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,7759,50,7507,20,7531,10,0,20,0,0,0,0,0,0,8304,9048,0,0,40,null,10006451,10083200,10083000,10083300,10006451,10083000,,0,0,0,0
15170100,AK確保16,15170100,BIRD,1,1,1,0,0,0,40,6,1,1,11,10,3,1,1,1823,0,0,600,135,230,STAB,120,153,96,38,77,30,0,0,130,113,120,68,0,166,15,8,100,1,540,295,1,0,50,0,30,0,0,0,255,255,255,255,255,255,255,255,255,93,70,14,30,0,0,0,0,0,0,0,0,93,30,14,30,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,7510,40,7567,30,7652,30,0,0,0,0,0,0,0,0,896,1008,0,0,40,null,10092900,10001550,10006300,null,10092900,10092900,,0,1,476,0
15170101,バロンターキー,15170100,BIRD,1,1,1.3,0,0,0,94,92,81,70,61,67,75,31,100,1000,201,201,251,154,232,BLOW,306,420,324,74,485,90,414,371,403,341,396,308,384,187,231,372,169,218,405,339,317,0,0,0,30,0,0,0,62,103,95,33,96,12,14,59,24,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47700,45670,0,0,6,null,10083200,10134900,10056901,90000045,10134900,null,,0,1,892,0
15170200,渡渡鸟青（未使用）,15170200,BIRD,1,1,1,0,0,0,86,6,1,1,11,10,3,1,1,29512,0,0,600,486,576,STAB,404,463,246,33,168,46,0,0,250,214,220,176,0,185,20,20,100,1,406,352,1,0,0,0,40,0,0,0,0,130,90,0,255,120,60,50,30,93,70,14,30,0,0,0,0,0,0,0,0,93,30,14,30,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,7759,50,7507,20,7531,10,0,20,0,0,0,0,0,0,21100,21100,0,0,40,null,10083200,10083100,10134900,90000045,10134900,null,,0,1,891,0
15170201,ドードーグロウ,15170200,BIRD,1,1,0.8,0,0,0,76,102,26,44,42,68,66,38,94,1000,201,201,423,376,379,BLOW,138,194,452,47,439,83,128,435,457,443,314,209,262,119,337,360,487,169,337,182,354,0,0,0,30,0,0,0,15,34,82,28,41,89,93,94,63,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6245,27770,0,0,5,null,10083200,10083100,null,10067310,10067310,null,,0,1,1036,0
15180000,贵族鱼人,15180000,WATER_ANIMAL,1,1,1,1,0,0,65,6,1,1,11,10,3,1,1,3787,0,0,295,228,252,BLOW,400,450,130,13,228,60,0,0,221,154,199,85,0,180,13,12,100,1,320,420,1,0,0,60,0,0,20,0,0,255,150,0,200,180,100,255,120,7,60,14,40,0,0,0,0,0,0,0,0,7,60,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7532,40,7804,30,7520,20,0,10,0,0,0,0,0,0,2200,2240,0,0,41,null,10007400,10032800,10035603,10015250,10035603,10015250,,0,0,0,0
15180001,雄伟鱼人,15180000,WATER_ANIMAL,1,1,1.2,1,0,0,105,6,1,1,11,10,3,1,1,38973,0,0,295,385,456,BLOW,610,701,233,26,340,70,0,0,256,219,225,130,0,186,21,20,100,1,339,453,1,0,0,60,0,0,20,0,0,255,150,0,200,180,100,255,120,7,60,14,40,0,0,0,0,0,0,0,0,7,60,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7532,40,7804,30,7648,20,0,10,0,0,0,0,0,0,27406,29558,0,0,41,null,10007400,10032800,10083400,10015250,10083400,10015250,,0,0,0,0
15180100,贵族鱼人赤（未使用）,15180100,WATER_ANIMAL,1,1,1,1,0,0,86,6,1,1,11,10,3,1,1,3787,0,0,295,228,252,BLOW,400,450,130,13,228,60,0,0,221,154,199,85,0,180,13,12,100,1,320,420,1,0,0,40,0,0,0,0,0,255,150,0,200,180,100,255,120,7,60,14,40,0,0,0,0,0,0,0,0,7,60,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7532,40,7804,30,7520,20,0,10,0,0,0,0,0,0,23400,24500,0,0,41,null,10007450,10133400,10035603,null,10133400,10015250,,0,1,893,0
15180200,贵族鱼人黒（未使用）,15180200,WATER_ANIMAL,1,1,1,1,0,0,98,6,1,1,11,10,3,1,1,3787,0,0,295,228,252,BLOW,400,450,130,13,228,60,0,0,221,154,199,85,0,180,13,12,100,1,320,420,1,0,0,20,0,0,0,40,0,255,150,0,200,180,100,255,120,7,60,14,40,0,0,0,0,0,0,0,0,7,60,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7532,40,7804,30,7520,20,0,10,0,0,0,0,0,0,43450,45840,0,0,41,null,10007450,10133400,10035603,90000045,10133400,90000045,,0,1,894,0
15180201,奈落のエビルインス,15180200,WATER_ANIMAL,1,1,1,1,0,0,100,88,47,21,57,99,96,96,49,1000,201,201,418,339,460,BLOW,360,436,277,20,240,89,313,267,483,279,178,355,201,109,236,136,381,363,123,246,173,0,0,20,0,0,0,40,51,86,53,50,66,21,99,82,101,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80140,141523,0,0,8,null,10007450,null,10035603,90000045,null,90000045,,0,1,1204,0
15180202,奈落のエビルインス,15180200,WATER_ANIMAL_NODEATH,1,1,1,1,0,0,100,103,66,42,56,104,89,16,65,1000,201,201,327,495,447,BLOW,430,430,424,105,405,18,296,154,329,307,315,210,274,200,114,197,393,157,190,302,268,0,0,20,0,0,0,40,60,98,85,21,98,26,94,21,89,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96168,203347,0,0,1,null,10007450,null,10035603,90000045,null,90000045,,0,0,1204,0
15180203,奈落のエビルインス,15180200,WATER_ANIMAL_NODEATH_NOHIDING,1,1,1,1,0,0,100,50,72,100,102,98,104,31,106,1000,201,201,372,178,304,BLOW,410,195,160,34,287,101,434,128,145,477,485,431,300,246,260,221,448,270,110,271,365,0,0,20,0,0,0,40,108,20,53,42,88,47,106,103,51,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224392,364982,0,0,1,null,10007450,null,10035603,90000045,null,90000045,,0,0,1204,0
15180204,奈落のエビルインス,15180200,WATER_ANIMAL_NODEATH_NOHIDING,1,1,1,1,0,0,100,10,49,78,35,104,76,66,84,1000,201,201,249,488,464,BLOW,390,498,119,53,187,40,260,314,204,372,410,103,182,304,285,104,114,216,264,123,248,0,0,20,0,0,0,40,57,108,22,12,52,75,31,89,22,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025792,1906851,0,0,8,null,10007450,null,10035603,90000045,null,90000045,,0,0,1204,0
15180205,奈落のエビルインス,15180200,WATER_ANIMAL_NODEATH_NOHIDING,1,1,1,1,0,0,100,63,68,57,71,74,101,19,50,1000,201,201,308,105,238,BLOW,143,362,372,86,274,91,434,246,413,499,352,412,112,494,461,379,354,100,376,273,116,0,0,20,0,0,0,40,87,109,73,80,68,90,73,35,22,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2163780,3016699,0,0,8,null,10007450,null,10035603,90000045,null,90000045,,0,0,1204,0
15181100,深色鱼人,15181100,WATER_ANIMAL,1,1,0.8,1,0,0,70,30,40,55,58,40,33,50,70,5500,0,0,300,260,300,BLOW,260,320,170,30,120,40,0,0,180,160,160,90,0,160,15,15,100,1,300,300,1,0,0,20,0,0,0,0,255,200,255,200,200,200,200,255,200,4,50,28,50,0,0,0,0,0,0,0,0,36,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7532,40,7520,30,7557,30,0,0,0,0,0,0,0,0,1500,1700,0,0,6,null,10007400,10032800,null,10015250,null,10015250,,0,1,349,0
15181300,贵族鱼人白（未使用）,15181300,WATER_ANIMAL,1,1,1,1,0,0,108,6,1,1,11,10,3,1,1,3787,0,0,295,228,252,BLOW,400,450,130,13,228,60,0,0,221,154,199,85,0,180,13,12,100,1,320,420,1,0,0,60,0,0,30,0,0,255,150,0,200,180,100,255,120,7,60,14,40,0,0,0,0,0,0,0,0,7,60,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7532,40,7804,30,7520,20,0,10,0,0,0,0,0,0,91020,92333,0,0,41,null,10011210,10056902,10056600,null,10056902,10056600,,0,1,895,0
15181301,奈落のアンゲロインス,15181300,WATER_ANIMAL,1,1,1,1,0,0,108,42,32,73,85,20,17,67,73,1000,201,201,374,100,320,BLOW,318,394,234,24,472,10,478,320,310,226,244,117,313,104,228,138,128,207,127,139,280,0,0,60,0,0,30,0,26,48,28,106,55,40,18,76,60,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109224,150100,0,0,9,null,10011210,null,T_10000603,null,null,null,,0,1,1205,0
15181302,奈落のアンゲロインス,15181300,WATER_ANIMAL_NODEATH,1,1,1,1,0,0,108,59,62,100,72,99,105,88,96,1000,201,201,283,434,341,BLOW,300,360,413,33,463,77,368,406,310,429,308,183,113,371,465,394,228,287,108,222,283,0,0,60,0,0,30,0,77,67,36,108,14,75,56,80,13,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131069,215670,0,0,6,null,10011210,null,T_10000603,null,null,null,,0,0,1205,0
15181303,奈落のアンゲロインス,15181300,WATER_ANIMAL_NODEATH_NOHIDING,1,1,1,1,0,0,108,57,33,96,23,57,24,73,68,1000,201,201,179,144,361,BLOW,354,225,496,90,375,79,321,190,371,462,255,460,489,302,106,284,390,202,163,203,395,0,0,60,0,0,30,0,14,101,102,65,26,57,70,52,59,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305828,387100,0,0,1,null,10011210,null,T_10000603,null,null,null,,0,0,1205,0
15181304,奈落のアンゲロインス,15181300,WATER_ANIMAL_NODEATH_NOHIDING,1,1,1,1,0,0,108,79,61,57,106,57,29,109,73,1000,201,201,109,363,318,BLOW,444,220,160,32,485,37,408,493,481,213,443,177,312,480,408,262,162,424,474,273,313,0,0,60,0,0,30,0,67,12,27,87,34,75,55,50,86,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398064,2022400,0,0,5,null,10011210,null,T_10000603,null,null,null,,0,0,1205,0
15181305,奈落のアンゲロインス,15181300,WATER_ANIMAL_NODEATH_NOHIDING,1,1,1,1,0,0,108,76,59,25,21,63,96,48,94,1000,201,201,385,288,291,BLOW,193,427,494,20,406,92,246,418,349,150,356,452,246,315,239,491,342,146,488,311,110,0,0,60,0,0,30,0,47,16,47,109,36,91,80,92,94,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2949045,3199500,0,0,6,null,10011210,null,T_10000603,null,null,null,,0,0,1205,0
15182000,贵族鱼人隈取（未使用）,15182000,WATER_ANIMAL,1,1,1,1,0,0,65,6,1,1,11,10,3,1,1,3787,0,0,295,228,252,BLOW,400,450,130,13,228,60,0,0,221,154,199,85,0,180,13,12,100,1,320,420,1,0,0,60,0,0,20,0,0,255,150,0,200,180,100,255,120,7,60,14,40,0,0,0,0,0,0,0,0,7,60,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7532,40,7804,30,7520,20,0,10,0,0,0,0,0,0,2200,2240,0,0,41,null,10007400,10032800,10035603,10015250,10035603,10015250,,0,0,0,0
15185000,贵族鱼人赤茶（未使用）,15185000,WATER_ANIMAL,1,1,1,1,0,0,65,6,1,1,11,10,3,1,1,3787,0,0,295,228,252,BLOW,400,450,130,13,228,60,0,0,221,154,199,85,0,180,13,12,100,1,320,420,1,0,0,60,0,0,20,0,0,255,150,0,200,180,100,255,120,7,60,14,40,0,0,0,0,0,0,0,0,7,60,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7532,40,7804,30,7520,20,0,10,0,0,0,0,0,0,2200,2240,0,0,41,null,10007400,10032800,10035603,10015250,10035603,10015250,,0,0,0,0
15185100,贵族鱼人水色（未使用）,15185100,WATER_ANIMAL,1,1,1,1,0,0,65,6,1,1,11,10,3,1,1,3787,0,0,295,228,252,BLOW,400,450,130,13,228,60,0,0,221,154,199,85,0,180,13,12,100,1,320,420,1,0,0,50,0,0,0,20,0,255,150,0,200,180,100,255,120,7,60,14,40,0,0,0,0,0,0,0,0,7,60,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7532,40,7804,30,7520,20,0,10,0,0,0,0,0,0,13555,12000,0,0,41,null,null,10032800,10056904,null,null,null,,0,1,1008,0
15185101,ディープワンズ,15185100,WATER_ANIMAL_BOSS,1,1,1,1,0,0,115,97,90,65,89,53,108,72,79,1000,201,201,469,390,320,BLOW,164,241,360,55,441,33,418,482,237,137,291,485,461,375,340,170,440,475,418,166,374,0,0,50,0,0,0,20,88,19,17,77,58,40,88,15,68,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,null,null,null,null,null,null,null,,0,0,0,0
15186000,贵族鱼人紫（未使用）,15186000,WATER_ANIMAL,1,1,1,1,0,0,65,6,1,1,11,10,3,1,1,3787,0,0,295,228,252,BLOW,400,450,130,13,228,60,0,0,221,154,199,85,0,180,13,12,100,1,320,420,1,0,0,60,0,0,20,0,0,255,150,0,200,180,100,255,120,7,60,14,40,0,0,0,0,0,0,0,0,7,60,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7532,40,7804,30,7520,20,0,10,0,0,0,0,0,0,2200,2240,0,0,41,null,10007400,10032800,10035603,10015250,10035603,10015250,,0,0,0,0
15186100,贵族鱼人灰（未使用）,15186100,WATER_ANIMAL_BOSS_SKILL,1,1,1,1,0,0,120,6,1,1,11,10,3,1,1,3787,0,0,295,228,252,BLOW,400,450,130,13,228,60,0,0,221,154,199,85,0,180,13,12,100,1,320,420,1,0,40,60,0,0,20,0,0,255,150,0,200,180,100,255,120,7,60,14,40,0,0,0,0,0,0,0,0,7,60,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7532,40,7804,30,7520,20,0,10,0,0,0,0,0,0,0,0,0,0,41,null,null,null,null,null,null,null,,0,0,0,0
15186101,ディープワンズ,15186100,WATER_ANIMAL_BOSS_SKILL,1,1,1,1,0,0,120,71,16,55,79,22,18,85,23,1000,201,201,324,242,495,BLOW,358,279,488,42,291,69,421,273,326,200,339,171,192,470,245,128,127,356,472,144,114,0,40,60,0,0,20,0,69,28,98,71,83,16,96,98,81,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,null,null,null,null,null,null,null,,0,0,0,0
15186102,ディープワンズ,15186100,WATER_ANIMAL_BOSS_SKILL,1,1,1,1,0,0,120,35,97,11,52,103,76,22,63,1000,201,201,350,498,405,BLOW,259,126,164,104,286,106,406,178,403,258,237,179,429,100,420,289,239,300,410,368,244,0,40,60,0,0,20,0,80,72,92,42,77,53,98,34,94,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,null,null,null,null,null,null,null,,0,0,0,0
15186200,贵族鱼人盗（未使用）,15186200,WATER_ANIMAL,1,1,1,1,0,0,15,6,1,1,11,10,3,1,1,3787,0,0,295,228,252,BLOW,400,450,130,13,228,60,0,0,221,154,199,85,0,180,13,12,100,1,320,420,1,0,0,60,0,0,20,0,0,255,150,0,200,180,100,255,120,7,60,14,40,0,0,0,0,0,0,0,0,7,60,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7532,40,7804,30,7520,20,0,10,0,0,0,0,0,0,30,30,0,0,41,null,ITAN_04,ITAN_04,ITAN_04,ITAN_04,ITAN_04,ITAN_04,,0,1,1085,0
15190000,马坦加,15190000,PLANT,1,1,0.7,0,0,0,37,6,1,1,11,10,3,1,1,776,0,0,295,80,145,BLOW,146,168,45,21,36,29,0,0,111,108,96,54,0,165,8,7,100,1,271,272,1,0,0,40,0,30,0,0,255,0,0,255,150,100,200,0,60,1,80,93,10,36,10,0,0,0,0,0,0,1,70,93,10,36,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,100,0,0,0,0,0,0,0,0,0,0,0,0,246,280,0,0,40,null,10082900,10082700,10007000,10007100,10082900,10082700,,0,1,515,0
15190001,马坦伊,15190000,PLANT,1,1,1,0,0,0,80,6,1,1,11,10,3,1,1,8888,0,0,295,209,245,BLOW,246,368,193,29,100,28,0,0,203,178,188,114,0,175,13,12,100,1,300,322,1,0,0,40,0,30,0,0,255,0,0,255,150,100,200,0,60,93,80,36,20,0,0,0,0,0,0,0,0,93,80,36,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,100,0,0,0,0,0,0,0,0,0,0,0,0,5286,6238,0,0,40,null,10082900,10082700,10082800,10007100,10082900,10007100,,0,0,0,0
15190002,马坦戈,15190000,PLANT,1,1,1.2,0,0,0,100,6,1,1,11,10,3,1,1,35000,0,0,295,293,347,BLOW,396,453,433,53,116,26,0,0,246,211,216,124,0,185,20,19,100,1,336,349,1,0,0,40,0,30,0,0,255,0,0,255,200,100,200,0,120,93,70,36,30,0,0,0,0,0,0,0,0,93,70,36,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7546,50,7508,40,7526,10,0,0,0,0,0,0,0,0,19276,21080,0,0,41,null,10082900,10082700,10082800,10007100,P_10082800,P_10082700,,0,0,0,0
15190003,マタンゲ,15190000,PLANT,1,1,2,0,0,0,108,51,107,101,45,87,71,42,41,1000,201,201,396,147,305,BLOW,145,466,332,102,480,61,216,291,480,282,458,189,200,124,434,473,417,157,145,195,159,0,0,0,0,30,0,0,34,55,57,87,88,96,108,83,24,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77690,76840,0,0,6,null,10082900,10011205,10056600,10007100,10056600,10011205,,0,1,896,0
15190004,奈落のマタンゲ,15190000,PLANT_SKILL,1,1,2,0,0,0,108,16,21,91,41,71,106,35,93,1000,201,201,237,215,362,BLOW,422,367,309,99,392,61,282,469,398,453,169,419,478,422,406,133,439,249,157,242,293,0,0,0,0,30,0,0,107,40,105,87,33,67,15,32,53,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93228,139840,0,0,6,null,10082900,10011205,null,10007100,null,10011205,,0,1,1206,0
15190005,奈落のマタンゲ,15190000,PLANT_NODEATH_SKILL,1,1,2,0,0,0,108,45,17,66,57,104,27,69,17,1000,201,201,168,419,426,BLOW,404,264,225,85,375,104,227,207,417,496,429,400,287,393,449,265,193,261,340,292,407,0,0,0,0,30,0,0,28,65,54,43,42,13,59,32,76,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111874,200928,0,0,9,null,10082900,10011205,null,10007100,null,10011205,,0,0,1206,0
15190006,奈落のマタンゲ,15190000,PLANT_NODEATH_NOHIDING_SKILL,1,1,2,0,0,0,108,62,20,79,106,109,23,82,24,1000,201,201,137,187,293,BLOW,419,150,178,75,265,33,139,454,354,212,283,354,126,258,442,334,158,217,393,231,311,0,0,0,0,30,0,0,92,24,105,87,48,49,59,41,14,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261038,360640,0,0,6,null,10082900,10011205,null,10007100,null,10011205,,0,0,1206,0
15190007,奈落のマタンゲ,15190000,PLANT_NODEATH_NOHIDING_SKILL,1,1,2,0,0,0,108,97,103,93,58,101,104,85,28,1000,201,201,379,353,157,BLOW,353,360,373,39,211,68,180,461,129,121,107,499,321,475,255,406,359,245,121,423,309,0,0,0,0,30,0,0,86,96,15,23,81,99,73,26,80,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193320,1884160,0,0,5,null,10082900,10011205,null,10007100,null,10011205,,0,0,1206,0
15190008,奈落のマタンゲ,15190000,PLANT_NODEATH_NOHIDING_SKILL,1,1,2,0,0,0,108,97,29,41,16,70,18,45,71,1000,201,201,277,191,454,BLOW,483,454,110,24,388,61,265,111,223,354,374,301,256,325,353,477,134,228,107,334,203,0,0,0,0,30,0,0,100,53,24,70,90,62,85,25,87,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517150,2980800,0,0,10,null,10082900,10011205,null,10007100,null,10011205,,0,0,1206,0
15190100,马坦戈緑（未使用）,15190100,PLANT,1,1,1,0,0,0,90,6,1,1,11,10,3,1,1,776,0,0,295,80,145,BLOW,146,168,45,21,36,29,0,0,111,108,96,54,0,165,8,7,100,1,271,272,1,0,0,20,0,10,0,0,255,0,0,255,150,100,200,0,60,1,80,93,10,36,10,0,0,0,0,0,0,1,70,93,10,36,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,100,0,0,0,0,0,0,0,0,0,0,0,0,7218,7930,0,0,40,null,10082901,10006999,10007000,10011402,10082901,null,,0,1,327,0
15190200,AK确保17,15190200,PLANT,1,1,1,0,0,0,32,6,1,1,11,10,3,1,1,581,0,0,295,94,111,BLOW,102,116,77,20,65,28,0,0,90,100,86,49,0,163,7,6,100,1,266,266,1,0,0,0,0,10,0,0,255,0,0,255,150,100,200,0,60,1,80,93,10,36,10,0,0,0,0,0,0,1,70,93,10,36,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7516,60,7503,40,0,0,0,0,0,0,0,0,0,0,178,202,0,0,40,null,10092100,null,10007100,null,10092100,null,,0,1,282,0
15190201,ツキヨタッケ,15190200,PLANT_SKILL,1,1,1.5,0,0,0,88,18,40,68,109,94,90,86,97,1000,201,201,421,454,275,BLOW,268,137,276,56,307,20,402,240,165,295,362,316,309,317,300,421,437,262,291,125,250,0,0,40,0,0,0,0,17,50,43,102,72,103,30,67,92,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21040,21444,0,0,7,null,10092100,10056900,10056600,10007100,10056600,null,,0,1,897,0
15192000,ファンガス,15192000,PLANT,1,1,0.8,0,0,0,21,11,58,52,103,100,30,60,83,1000,201,201,302,141,291,BLOW,147,195,241,96,149,62,480,171,326,110,352,293,462,251,345,495,149,133,255,137,323,0,0,0,0,10,0,0,86,52,38,45,100,23,47,26,14,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,102,0,0,1,null,10082900,10082700,10007000,10007100,10082900,10082700,,0,1,431,0
